Component#1,inchi#1,Smiles#1,H#1,T#1,Component#2,inchi#2,Smiles#2,H#2,T#2,T_EP,X#1,Phase_diagram
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,445.9,0.677,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,445.5,0.685,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,458.6,0.788,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,458.6,0.789,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,463.3,0.878,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,463.4,0.88,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,543.6,0.102,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,523.7,0.152,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,503.1,0.199,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,483.6,0.23,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,463.6,0.301,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,443.1,0.349,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,418.9,0.402,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,403.4,0.45,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,386.6,0.502,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,373.9,0.551,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,363.32,0.601,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,368.52,0.649,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,375.15,0.697,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,384.48,0.749,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,387.58,0.798,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,393.78,0.85,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,397.98,0.899,Yes
[C4Py]Cl,POKOASTYJWUQJG-UHFFFAOYSA-M,CCCC[n+]1ccccc1.[Cl-],26.13,405.4,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,403.55,0.95,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,557.2,0.06,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,535.6,0.098,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,535.5,0.1,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,498.7,0.159,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,471.4,0.215,Yes
[Ch][OAc],QLKGUVGAXDXFFW-UHFFFAOYSA-M,CC(=O)[O-].C[N+](C)(C)CCO,8.8817,362.62,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,459.4,0.246,Yes
